Date,T_RTD,Orig_Data
1/10/21 13:00,-8.779426483,0
1/10/21 14:00,-9.146076358,0
1/10/21 15:00,-9.146076358,0
1/10/21 16:00,-8.046126734,0
1/10/21 17:00,-6.94617711,0
1/10/21 18:00,-7.312826984,0
1/10/21 19:00,-5.846227486,0
1/10/21 20:00,-5.479577611,0
1/10/21 21:00,-4.746277861,0
1/10/21 22:00,-4.746277861,0
1/10/21 23:00,-5.479577611,0
1/11/21 00:00,-5.479577611,0
1/11/21 01:00,-5.112927736,0
1/11/21 02:00,-5.479577611,0
1/11/21 03:00,-5.846227486,0
1/11/21 04:00,-5.479577611,0
1/11/21 05:00,-4.746277861,0
1/11/21 06:00,-4.379627987,0
1/11/21 07:00,-3.646328237,0
1/11/21 08:00,-2.913028488,0
1/11/21 09:00,-4.379627987,0
1/11/21 10:00,-5.479577611,0
1/11/21 11:00,-6.579527235,0
1/11/21 12:00,-7.312826984,0
1/11/21 14:00,-7.312826984,0
1/11/21 15:00,-7.312826984,0
1/11/21 16:00,-8.412776609,0
1/11/21 17:00,-8.412776609,0
1/11/21 18:00,-8.412776609,0
1/11/21 19:00,-6.94617711,0
1/11/21 20:00,-5.846227486,0
1/11/21 21:00,-5.846227486,0
1/11/21 22:00,-5.479577611,0
1/11/21 23:00,-4.379627987,0
1/12/21 00:00,-4.379627987,0
1/12/21 01:00,-4.012978112,0
1/12/21 02:00,-4.012978112,0
1/12/21 03:00,-4.012978112,0
1/12/21 04:00,-3.646328237,0
1/12/21 05:00,-4.746277861,0
1/12/21 06:00,-4.746277861,0
1/12/21 07:00,-5.112927736,0
1/12/21 08:00,-5.479577611,0
1/12/21 09:00,-5.479577611,0
1/12/21 10:00,-5.479577611,0
1/12/21 11:00,-6.21287736,0
1/12/21 13:00,-6.579527235,0
1/12/21 14:00,-6.94617711,0
1/12/21 15:00,-7.679476859,0
1/12/21 16:00,-7.312826984,0
1/12/21 17:00,-8.779426483,0
1/12/21 18:00,-9.146076358,0
1/12/21 19:00,-8.779426483,0
1/12/21 20:00,-8.412776609,0
1/12/21 21:00,-6.94617711,0
1/12/21 22:00,-5.846227486,0
1/12/21 23:00,-5.846227486,0
1/13/21 00:00,-6.21287736,0
1/13/21 01:00,-6.94617711,0
1/13/21 02:00,-6.94617711,0
1/13/21 03:00,-6.579527235,0
1/13/21 04:00,-6.21287736,0
1/13/21 05:00,-6.94617711,0
1/13/21 06:00,-8.046126734,0
1/13/21 07:00,-9.146076358,0
1/13/21 08:00,-9.879376107,0
1/13/21 09:00,-10.24602598,0
1/13/21 10:00,-10.97932573,0
1/13/21 11:00,-11.34597561,0
1/13/21 12:00,-12.07927536,0
1/13/21 13:00,-12.44592523,0
1/13/21 14:00,-12.81257511,0
1/13/21 15:00,-12.81257511,0
1/13/21 16:00,-12.44592523,0
1/13/21 17:00,-12.44592523,0
1/13/21 18:00,-12.07927536,0
1/13/21 19:00,-11.34597561,0
1/13/21 20:00,-11.34597561,0
1/13/21 21:00,-10.97932573,0
1/13/21 22:00,-10.24602598,0
1/13/21 23:00,-10.24602598,0
1/14/21 00:00,-10.24602598,0
1/14/21 01:00,-9.879376107,0
1/14/21 02:00,-9.512726233,0
1/14/21 03:00,-8.779426483,0
1/14/21 04:00,-8.412776609,0
1/14/21 05:00,-8.046126734,0
1/14/21 06:00,-9.146076358,0
1/14/21 07:00,-9.146076358,0
1/14/21 08:00,-9.146076358,0
1/14/21 09:00,-10.24602598,0
1/14/21 10:00,-10.97932573,0
1/14/21 11:00,-11.34597561,0
1/14/21 12:00,-11.34597561,0
1/14/21 13:00,-10.97932573,0
1/14/21 14:00,-10.61267586,0
1/14/21 15:00,-10.24602598,0
1/14/21 16:00,-9.879376107,0
1/14/21 17:00,-9.512726233,0
1/14/21 18:00,-8.412776609,0
1/14/21 19:00,-7.679476859,0
1/14/21 20:00,-5.112927736,0
1/14/21 21:00,-4.379627987,0
1/14/21 22:00,-4.746277861,0
1/14/21 23:00,-5.112927736,0
1/15/21 00:00,-5.112927736,0
1/15/21 01:00,-5.112927736,0
1/15/21 02:00,-4.746277861,0
1/15/21 03:00,-4.379627987,0
1/15/21 04:00,-4.379627987,0
1/15/21 05:00,-4.746277861,0
1/15/21 06:00,-4.746277861,0
1/15/21 07:00,-5.112927736,0
1/15/21 08:00,-5.112927736,0
1/15/21 09:00,-5.112927736,0
1/15/21 10:00,-5.846227486,0
1/15/21 11:00,-6.21287736,0
1/15/21 12:00,-6.579527235,0
1/15/21 13:00,-6.579527235,0
1/15/21 14:00,-6.579527235,0
1/15/21 15:00,-6.94617711,0
1/15/21 16:00,-7.679476859,0
1/15/21 17:00,-8.412776609,0
1/15/21 18:00,-8.779426483,0
1/15/21 19:00,-7.312826984,0
1/15/21 20:00,-5.846227486,0
1/15/21 21:00,-4.746277861,0
1/15/21 22:00,-4.379627987,0
1/15/21 23:00,-4.746277861,0
1/16/21 00:00,-5.112927736,0
1/16/21 01:00,-5.846227486,0
1/16/21 02:00,-5.846227486,0
1/16/21 03:00,-5.479577611,0
1/16/21 04:00,-5.112927736,0
1/16/21 05:00,-4.746277861,0
1/16/21 06:00,-4.746277861,0
1/16/21 07:00,-5.112927736,0
1/16/21 08:00,-6.21287736,0
1/16/21 09:00,-7.312826984,0
1/16/21 10:00,-7.679476859,0
1/16/21 11:00,-8.046126734,0
1/16/21 12:00,-8.412776609,0
1/16/21 13:00,-8.779426483,0
1/16/21 14:00,-9.146076358,0
1/16/21 15:00,-9.146076358,0
1/16/21 16:00,-8.779426483,0
1/16/21 17:00,-7.312826984,0
1/16/21 18:00,-6.579527235,0
1/16/21 19:00,-5.479577611,0
1/16/21 20:00,-4.746277861,0
1/16/21 21:00,-3.646328237,0
1/16/21 22:00,-2.546378613,0
1/16/21 23:00,-2.913028488,0
1/17/21 00:00,-3.646328237,0
1/17/21 01:00,-4.379627987,0
1/17/21 02:00,-4.746277861,0
1/17/21 03:00,-4.746277861,0
1/17/21 04:00,-5.112927736,0
1/17/21 05:00,-5.112927736,0
1/17/21 06:00,-5.112927736,0
1/17/21 07:00,-5.112927736,0
1/17/21 08:00,-5.112927736,0
1/17/21 09:00,-5.479577611,0
1/17/21 10:00,-5.479577611,0
1/17/21 11:00,-6.579527235,0
1/17/21 12:00,-7.312826984,0
1/17/21 13:00,-7.679476859,0
1/17/21 14:00,-7.312826984,0
1/17/21 15:00,-6.94617711,0
1/17/21 16:00,-5.846227486,0
1/17/21 17:00,-5.112927736,0
1/17/21 18:00,-4.012978112,0
1/17/21 19:00,-3.646328237,0
1/17/21 20:00,-2.546378613,0
1/17/21 21:00,-1.446428989,0
1/17/21 22:00,-1.813078864,0
1/17/21 23:00,-0.346479365,0
1/18/21 00:00,-1.079779114,0
1/18/21 01:00,-1.446428989,0
1/18/21 02:00,-1.446428989,0
1/18/21 03:00,1.120120134,0
1/18/21 04:00,1.120120134,0
1/18/21 05:00,1.120120134,0
1/18/21 06:00,1.486770009,0
1/18/21 07:00,-0.346479365,0
1/18/21 08:00,-1.079779114,0
1/18/21 09:00,0.753470259,0
1/18/21 10:00,1.120120134,0
1/18/21 11:00,1.120120134,0
1/18/21 12:00,-0.71312924,0
1/18/21 13:00,-1.079779114,0
1/18/21 14:00,-1.446428989,0
1/18/21 15:00,-1.079779114,0
1/18/21 16:00,-0.71312924,0
1/18/21 17:00,-0.71312924,0
1/18/21 18:00,-0.346479365,0
1/18/21 19:00,-0.346479365,0
1/19/21 00:00,1.486770009,0
1/19/21 02:00,2.220069758,0
1/19/21 03:00,1.853419883,0
1/19/21 04:00,1.853419883,0
1/19/21 05:00,1.853419883,0
1/19/21 06:00,2.220069758,0
1/19/21 07:00,1.853419883,0
1/19/21 08:00,1.853419883,0
1/19/21 09:00,2.220069758,0
1/19/21 10:00,1.853419883,0
1/19/21 11:00,1.486770009,0
1/19/21 12:00,1.486770009,0
1/19/21 13:00,1.853419883,0
1/19/21 14:00,1.486770009,0
1/19/21 15:00,1.486770009,0
1/19/21 16:00,1.853419883,0
1/19/21 17:00,1.853419883,0
1/19/21 18:00,1.120120134,0
1/19/21 19:00,0.753470259,0
1/19/21 20:00,1.486770009,0
1/19/21 21:00,1.853419883,0
1/19/21 22:00,1.853419883,0
1/19/21 23:00,1.120120134,0
1/20/21 00:00,1.120120134,0
1/20/21 01:00,0.753470259,0
1/20/21 02:00,0.753470259,0
1/20/21 03:00,0.753470259,0
1/20/21 04:00,1.853419883,0
1/20/21 05:00,1.486770009,0
1/20/21 06:00,1.486770009,0
1/20/21 07:00,0.753470259,0
1/20/21 08:00,-0.71312924,0
