,gates,gates,gates,may,may,may,buri,buri,buri,usgs,usgs,usgs,coop,coop,coop
,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMAX,TMIN,TAVG
2018-07-23 00:00:00-08:00,14.333333333333332,16.909722222222225,19.61111111111111,3.3333333333333335,17.59259259259259,27.77777777777778,,,,4.4,15.55625,27.1,,,
2018-07-24 00:00:00-08:00,12.333333333333336,15.692129629629632,19.444444444444446,3.8888888888888893,16.50462962962963,25.555555555555557,,,,5.1,16.190625,27.3,,,
2018-07-25 00:00:00-08:00,12.5,14.754629629629628,18.833333333333336,12.222222222222223,17.5,26.11111111111111,,,,6.3,15.997916666666667,27.6,,,
2018-07-26 00:00:00-08:00,11.222222222222225,12.444444444444445,14.000000000000002,11.666666666666668,16.828703703703706,24.444444444444446,,,,10.0,14.450000000000001,22.4,,,
2018-07-27 00:00:00-08:00,10.944444444444446,12.525462962962964,14.444444444444445,10.0,16.666666666666668,23.88888888888889,,,,8.8,13.762500000000001,23.1,,,
2018-07-28 00:00:00-08:00,9.27777777777778,10.458333333333334,12.388888888888888,11.11111111111111,14.976851851851853,23.333333333333336,,,,8.6,12.709375,19.2,,,
2018-07-29 00:00:00-08:00,8.444444444444446,11.787037037037038,15.222222222222221,7.777777777777779,16.78240740740741,25.555555555555557,,,,7.8,14.092708333333334,23.3,,,
2018-07-30 00:00:00-08:00,11.055555555555555,14.479166666666666,17.611111111111114,4.444444444444445,16.921296296296298,26.11111111111111,,,,7.4,15.609375,25.2,,,
2018-07-31 00:00:00-08:00,11.500000000000002,14.879629629629632,18.333333333333336,6.111111111111112,18.194444444444446,27.77777777777778,,,,6.2,15.698958333333332,26.2,,,
2018-08-01 00:00:00-08:00,12.833333333333334,15.578703703703704,18.944444444444443,8.88888888888889,16.805555555555557,27.222222222222225,,,,6.6,16.328125,26.7,,,
2018-08-02 00:00:00-08:00,8.555555555555555,9.756944444444445,12.000000000000002,8.333333333333334,12.638888888888891,17.22222222222222,,,,8.6,12.434375000000001,18.4,,,
2018-08-03 00:00:00-08:00,6.111111111111112,7.590277777777778,8.944444444444446,10.555555555555555,12.523148148148147,15.555555555555557,,,,6.5,10.234375,14.9,,,
2018-08-04 00:00:00-08:00,7.055555555555557,8.893518518518519,10.833333333333334,10.0,12.38425925925926,15.0,,,,6.9,8.977083333333333,11.8,,,
2018-08-05 00:00:00-08:00,8.055555555555555,8.733796296296296,9.166666666666668,11.666666666666668,12.847222222222223,15.0,,,,7.3,9.413541666666667,12.1,,,
2018-08-06 00:00:00-08:00,7.333333333333335,7.967592592592593,8.444444444444446,10.555555555555555,11.851851851851853,13.88888888888889,,,,8.2,9.557291666666666,11.6,,,
2018-08-07 00:00:00-08:00,4.166666666666667,6.4884259259259265,8.0,7.222222222222222,11.504629629629632,19.444444444444446,,,,6.6,8.641666666666667,10.0,,,
2018-08-08 00:00:00-08:00,4.61111111111111,7.805555555555556,10.944444444444446,6.666666666666667,10.092592592592593,14.444444444444445,,,,4.7,10.487499999999999,20.6,,,
2018-08-09 00:00:00-08:00,5.222222222222221,6.171296296296297,7.11111111111111,5.0,11.782407407407407,17.77777777777778,,,,6.2,9.220833333333333,15.9,,,
2018-08-10 00:00:00-08:00,4.555555555555557,6.069444444444444,7.888888888888891,7.777777777777779,11.574074074074074,17.77777777777778,,,,5.4,10.551041666666666,17.6,,,
2018-08-11 00:00:00-08:00,4.666666666666666,6.298611111111112,7.555555555555556,8.333333333333334,10.300925925925926,13.333333333333334,,,,5.7,9.183333333333334,13.9,,,
2018-08-12 00:00:00-08:00,5.055555555555556,6.918981481481482,8.61111111111111,9.444444444444445,13.356481481481481,20.555555555555557,,,,6.0,8.614583333333334,11.8,,,
2018-08-13 00:00:00-08:00,4.944444444444444,7.513888888888889,10.277777777777779,3.8888888888888893,10.601851851851853,20.0,,,,6.4,11.85,20.7,,,
2018-08-14 00:00:00-08:00,4.111111111111111,5.474537037037037,7.166666666666666,6.666666666666667,9.398148148148149,13.88888888888889,,,,5.1,8.036458333333334,11.9,,,
2018-08-15 00:00:00-08:00,3.611111111111111,4.178240740740741,4.833333333333335,2.7777777777777777,8.171296296296296,15.555555555555557,,,,4.6,6.891666666666667,9.5,,,
2018-08-16 00:00:00-08:00,2.000000000000001,3.9444444444444446,6.055555555555555,0.5555555555555556,9.097222222222223,17.22222222222222,,,,3.1,7.940625,18.1,,,
2018-08-17 00:00:00-08:00,1.3333333333333326,3.9837962962962963,7.333333333333335,-1.1111111111111112,8.935185185185185,17.77777777777778,,,,4.0,9.545833333333333,16.5,,,
2018-08-18 00:00:00-08:00,3.3888888888888897,6.525462962962963,10.277777777777779,6.111111111111112,12.870370370370372,21.666666666666668,,,,1.7,11.098958333333334,22.0,,,
2018-08-19 00:00:00-08:00,6.722222222222223,10.064814814814815,15.222222222222221,8.88888888888889,12.106481481481481,18.333333333333336,,,,5.1,12.938541666666666,22.5,,,
2018-08-20 00:00:00-08:00,7.722222222222221,9.543981481481483,10.722222222222221,11.11111111111111,12.569444444444445,16.666666666666668,,,,7.8,9.805208333333333,12.0,,,
2018-08-21 00:00:00-08:00,5.777777777777778,9.270833333333334,11.38888888888889,8.88888888888889,11.851851851851853,16.11111111111111,,,,7.8,10.122916666666667,13.9,,,
2018-08-22 00:00:00-08:00,4.333333333333332,5.287037037037037,6.666666666666667,7.777777777777779,11.504629629629632,16.11111111111111,,,,6.4,8.698958333333334,12.7,,,
2018-08-23 00:00:00-08:00,5.0,6.159722222222222,7.555555555555556,7.222222222222222,10.74074074074074,15.0,,,,6.2,9.50625,16.7,,,
2018-08-24 00:00:00-08:00,3.722222222222224,5.104166666666667,6.7777777777777795,7.222222222222222,11.273148148148147,17.77777777777778,,,,5.5,8.639583333333333,13.6,,,
2018-08-25 00:00:00-08:00,3.722222222222224,6.00462962962963,8.88888888888889,-1.6666666666666667,6.273148148148149,18.333333333333336,,,,3.5,9.370833333333334,17.2,,,
2018-08-26 00:00:00-08:00,3.3333333333333335,5.219907407407407,7.000000000000001,7.777777777777779,9.814814814814815,13.88888888888889,,,,1.1,5.783333333333334,9.4,,,
2018-08-27 00:00:00-08:00,5.1111111111111125,6.6365740740740735,8.499999999999998,8.88888888888889,10.763888888888888,16.11111111111111,,,,5.9,8.438541666666667,12.5,,,
2018-08-28 00:00:00-08:00,5.6111111111111125,7.203703703703705,9.833333333333336,-1.6666666666666667,8.310185185185185,18.88888888888889,,,,2.7,8.841666666666667,16.3,,,
2018-08-29 00:00:00-08:00,4.61111111111111,6.770833333333333,8.277777777777777,2.7777777777777777,7.8240740740740735,18.88888888888889,,,,0.2,9.106250000000001,18.9,,,
2018-08-30 00:00:00-08:00,1.722222222222223,4.819444444444444,7.611111111111113,2.2222222222222223,7.3842592592592595,15.555555555555557,,,,3.9,6.4781249999999995,10.6,,,
2018-08-31 00:00:00-08:00,1.4444444444444453,3.888888888888889,7.5,-0.5555555555555556,8.472222222222223,16.11111111111111,,,,1.6,8.416666666666666,17.7,,,
