,gates,gates,gates,may,may,may,buri,buri,buri,usgs,usgs,usgs,coop,coop,coop
,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMAX,TMIN,TAVG
DATE,,,,,,,,,,,,,,,
2017-02-23 00:00:00-09:00,-10.777777777777777,-7.710648148148149,-2.6111111111111107,-21.110555555555557,-12.96277777777778,-0.5555555555555556,,,,-17.7,-11.096875000000002,-0.7,-5.0,-21.11111111111111,-13.055555555555555
2017-02-24 00:00:00-09:00,-8.722222222222221,-2.7037037037037037,0.6111111111111119,-12.222222222222223,-5.324074074074074,1.6666666666666667,,,,-20.8,-11.397916666666667,2.3,-0.5555555555555556,-17.77777777777778,-9.166666666666668
2017-02-25 00:00:00-09:00,-10.777777777777777,-7.983796296296295,-5.777777777777778,-15.0,-9.537037037037038,-1.6666666666666667,,,,-12.7,-7.929166666666668,-0.8,2.2222222222222223,-20.0,-8.88888888888889
2017-02-26 00:00:00-09:00,-12.000000000000002,-10.289351851851853,-8.333333333333334,-10.555555555555555,-7.754629629629629,-2.7777777777777777,,,,-13.8,-9.090625000000003,3.5,-0.5555555555555556,-12.222222222222223,-6.388888888888889
2017-02-27 00:00:00-09:00,-13.222222222222223,-12.307870370370374,-11.61111111111111,-17.22222222222222,-10.601851851851853,-4.444444444444445,,,,-17.6,-9.648958333333335,-3.9,3.3333333333333335,-12.777777777777779,-4.722222222222222
2017-02-28 00:00:00-09:00,-16.22222222222222,-13.516203703703708,-11.277777777777779,-19.443888888888893,-13.574830917874396,-8.88888888888889,,,,-18.7,-11.109375000000002,-2.7,-3.8888888888888893,-17.77777777777778,-10.833333333333334
2017-03-01 00:00:00-09:00,-21.722222222222225,-19.412037037037038,-16.77777777777778,-32.77222222222222,-23.075625000000006,-12.777777777777779,,,,-26.2,-18.503124999999997,-9.2,-2.7777777777777777,-21.11111111111111,-11.944444444444445
2017-03-02 00:00:00-09:00,-25.88888888888889,-22.039351851851848,-17.944444444444443,-28.327777777777776,-19.372569444444444,-8.88888888888889,,,,-31.7,-22.42395833333333,-11.2,-9.444444444444445,-27.77777777777778,-18.61111111111111
2017-03-03 00:00:00-09:00,-18.77777777777778,-17.412037037037035,-14.722222222222223,-33.327777777777776,-20.877245370370368,-10.555555555555555,,,,-27.7,-20.121875000000003,-7.6,-11.11111111111111,-31.111111111111114,-21.11111111111111
2017-03-04 00:00:00-09:00,-22.22222222222222,-20.60648148148148,-18.722222222222225,-34.99444444444444,-24.325416666666666,-10.0,,,,-31.8,-21.75729166666667,-5.7,-7.777777777777779,-28.88888888888889,-18.333333333333336
2017-03-05 00:00:00-09:00,-23.555555555555557,-20.999999999999996,-18.833333333333332,-22.221666666666668,-16.874884259259264,-13.88888888888889,,,,-33.6,-19.732291666666665,-2.6,-5.555555555555555,-31.111111111111114,-18.333333333333336
2017-03-06 00:00:00-09:00,-24.38888888888889,-22.581018518518523,-19.166666666666668,-37.772222222222226,-26.107824074074085,-12.777777777777779,,,,-30.4,-19.902083333333334,-11.9,-2.7777777777777777,-32.77777777777778,-17.77777777777778
2017-03-07 00:00:00-09:00,-23.944444444444446,-22.412037037037035,-19.222222222222225,-36.10555555555556,-25.15856481481481,-11.11111111111111,,,,-36.5,-24.619791666666682,-5.0,-11.11111111111111,-32.77777777777778,-21.944444444444446
2017-03-08 00:00:00-09:00,-23.5,-21.650462962962962,-19.88888888888889,-34.43888888888889,-21.571643518518517,-10.0,,,,-35.4,-23.94687499999999,-8.3,-5.0,-36.111111111111114,-20.555555555555557
2017-03-09 00:00:00-09:00,-22.333333333333336,-20.979166666666668,-18.38888888888889,-36.10555555555556,-23.700439814814825,-7.777777777777779,,,,-34.4,-22.70937500000001,-7.5,-8.333333333333334,-35.0,-21.666666666666668
