TIMESTAMP,SD,RS,Precip_inc
2018-12-16,14.900000000000006,172.0794,
2018-12-17,16.099999999999994,197.5257,25.446300000000008
2018-12-18,14.099999999999994,180.3618,
2018-12-19,13.800000000000011,181.6481,1.2863000000000113
2018-12-20,14.700000000000017,176.7348,
2018-12-21,,,
2018-12-22,15.099999999999994,174.4621,
2018-12-23,19.80000000000001,154.3563,
2018-12-24,16.400000000000006,159.22299999999998,4.86669999999998
2018-12-25,,,
2018-12-26,15.5,164.4369,
2018-12-27,,,
2018-12-28,28.900000000000006,192.6811,
2018-12-29,26.200000000000017,185.8356,
2018-12-30,,,
2018-12-31,31.5,219.6998,
2019-01-01,,,
2019-01-02,,,
2019-01-03,,,
2019-01-04,,,
2019-01-05,,,
2019-01-06,30.80000000000001,145.0884,
2019-01-07,30.599999999999994,135.2616,
2019-01-08,,,
